domain_name,agency,domain_canonically_https,domain_canonically_www,domain_downgrades_https,domain_enforces_https,domain_host,domain_hsts,domain_hsts_preload_ready,domain_hsts_subdomains,domain_https,domain_redirect,domain_responds,domain_root,domain_sld,domain_tld,domain_trd,domain_up,domain_www,canonical_endpoint_external_redirect,canonical_endpoint_host,canonical_endpoint_redirect,canonical_endpoint_resolves_to,canonical_endpoint_responds,canonical_endpoint_scheme,canonical_endpoint_timed_out,canonical_endpoint_up,canonical_endpoint_uri,canonical_endpoint_www,content_data_json,content_doctype,content_generator,content_humans_txt,content_proper_404s,content_robots_txt,content_security_txt,content_sitemap_xml,content_vulnerability_disclosure_policy,cookies_cookie?,cookies_secure?,dns_cdn,dns_cloud_provider,dns_dnssec,dns_google_apps,dns_hostname,dns_ip,dns_ipv6,hsts_enabled,hsts_include_subdomains,hsts_max_age,hsts_preload,hsts_preload_list_status,hsts_preload_ready,hsts_valid,https_return_code,https_valid,sniffer_advertising,sniffer_analytics,sniffer_framework,sniffer_javascript,wappalyzer_a/b_testing,wappalyzer_accessibility,wappalyzer_advertising,wappalyzer_analytics,wappalyzer_caching,wappalyzer_cdn,wappalyzer_cms,wappalyzer_comment_systems,wappalyzer_cookie_compliance,wappalyzer_crm,wappalyzer_databases,wappalyzer_ecommerce,wappalyzer_editors,wappalyzer_email,wappalyzer_font_scripts,wappalyzer_hosting_panels,wappalyzer_issue_trackers,wappalyzer_javascript_frameworks,wappalyzer_javascript_graphics,wappalyzer_javascript_libraries,wappalyzer_live_chat,wappalyzer_lms,wappalyzer_load_balancers,wappalyzer_maps,wappalyzer_marketing_automation,wappalyzer_miscellaneous,wappalyzer_mobile_frameworks,wappalyzer_operating_systems,wappalyzer_paas,wappalyzer_page_builders,wappalyzer_programming_languages,wappalyzer_reverse_proxies,wappalyzer_rich_text_editors,wappalyzer_saas,wappalyzer_search_engines,wappalyzer_security,wappalyzer_seo,wappalyzer_social_logins,wappalyzer_ssl/tls_certificate_authorities,wappalyzer_static_site_generator,wappalyzer_tag_managers,wappalyzer_ui_frameworks,wappalyzer_video_players,wappalyzer_web_frameworks,wappalyzer_web_server_extensions,wappalyzer_web_servers,wappalyzer_webmail,wappalyzer_widgets,wellknown_acme_challenge,wellknown_amphtml,wellknown_ashrae,wellknown_assetlinks_json,wellknown_brski,wellknown_caldav,wellknown_carddav,wellknown_coap,wellknown_core,wellknown_csvm,wellknown_dnt,wellknown_dnt_policy_txt,wellknown_dots,wellknown_ecips,wellknown_enterprise_transport_security,wellknown_est,wellknown_genid,wellknown_gs1resolver,wellknown_hoba,wellknown_host_meta,wellknown_host_meta_json,wellknown_hosting_provider,wellknown_http_opportunistic,wellknown_idp_proxy,wellknown_jmap,wellknown_keybase_txt,wellknown_looking_glass,wellknown_matrix,wellknown_mta_sts_txt,wellknown_nfv_oauth_server_configuration,wellknown_ni,wellknown_oauth_authorization_server,wellknown_openid_configuration,wellknown_openorg,wellknown_pki_validation,wellknown_posh,wellknown_pvd,wellknown_reload_config,wellknown_repute_template,wellknown_resourcesync,wellknown_sshfp,wellknown_stun_key,wellknown_thread,wellknown_time,wellknown_timezone,wellknown_tor_relay,wellknown_uma2_configuration,wellknown_void,wellknown_webfinger
18f.gov,General Services Administration,true,false,false,true,18f.gov,true,true,true,true,true,true,true,18f,gov,,true,true,true,18f.gov,true,https://18f.gsa.gov/,true,https,false,true,https://18f.gov/,false,,,,,,,,,,,,:cloudfront,,false,false,server-13-32-181-66.iad66.r.cloudfront.net,13.32.181.66,false,true,true,31536000,true,preloaded,true,true,:ok,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020census.gov,Department of Commerce,true,false,false,true,2020census.gov,true,false,true,true,false,true,true,2020census,gov,,true,true,false,2020census.gov,false,https://2020census.gov/,true,https,false,true,https://2020census.gov/,false,false,,,false,true,true,false,false,false,false,false,:akamai,,true,false,a104-127-183-153.deploy.static.akamaitechnologies.com,104.127.183.153,true,true,true,63072000,false,unknown,false,true,:ok,true,,,,,,,,Google Analytics and Adobe Analytics,,Akamai,Adobe Experience Manager,,,,,,,,,,,,,jQuery UI and jQuery and Modernizr and Lodash,,,,,Adobe Target,,,,,,Java,,,Adobe Experience Platform Identity Service,,Akamai Bot Manager,,,,,Google Tag Manager and Adobe Experience Platform Launch,ZURB Foundation,,,,Apache,,Facebook and Twitter,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
400yaahc.gov,General Services Administration,true,false,false,true,400yaahc.gov,false,false,false,true,false,true,true,400yaahc,gov,,true,true,false,400yaahc.gov,false,https://400yaahc.gov/,false,https,false,false,https://400yaahc.gov/,false,,,,,,,,,,,,,,true,true,host.159-142-191-107.gsa.gov,159.142.191.107,false,false,false,0,false,unknown,false,false,:ssl_cacert,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11commission.gov,National Archives and Records Administration,true,false,false,true,9-11commission.gov,false,false,false,true,false,true,true,9-11commission,gov,,true,true,false,9-11commission.gov,false,https://9-11commission.gov/,false,https,false,false,https://9-11commission.gov/,false,,,,,,,,,,,,,,true,false,fcic.gov,129.120.93.242,false,false,false,0,false,preloaded,false,false,:couldnt_resolve_host,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911.gov,Department of Transportation,true,true,false,true,www.911.gov,true,true,true,true,false,true,true,911,gov,www,true,true,false,www.911.gov,false,https://www.911.gov/,true,https,false,true,https://www.911.gov/,true,false,-//W3C//DTD HTML 4.01 Transitional//EN,,false,true,false,false,false,false,false,false,:akamai,,true,false,a104-111-84-124.deploy.static.akamaitechnologies.com,104.111.84.124,true,true,true,31536000,true,preloaded,true,true,:ok,true,,,,:jquery,,,,Google Analytics,,,,,,,,,,,Google Font API and Font Awesome,,,,,jQuery,,,,,,,,Windows Server,,,,,,,,,,,,,Google Tag Manager,Bootstrap,,Microsoft ASP.NET,,IIS,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
911commission.gov,National Archives and Records Administration,true,false,false,true,911commission.gov,true,true,true,true,false,true,true,911commission,gov,,true,true,false,911commission.gov,false,https://911commission.gov/,true,https,false,true,https://911commission.gov/,false,false,-//W3C//DTD HTML 4.01 Transitional//EN,,false,true,true,false,false,false,false,false,,,true,false,fcic.gov,129.120.93.242,false,true,true,31536000,true,preloaded,true,true,:ok,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Hat,,,,,,,,,,,,,,,,,OpenSSL,Apache,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
abandonedmines.gov,Department of the Interior,true,false,false,true,abandonedmines.gov,true,true,true,true,false,true,true,abandonedmines,gov,,true,true,false,abandonedmines.gov,false,https://abandonedmines.gov/,true,https,false,true,https://abandonedmines.gov/,false,,,,,false,,false,,,false,false,,,true,false,fpa.nifc.gov,204.124.92.246,true,true,true,31622400,true,preloaded,true,true,:ok,true,,,,,,,,Google Analytics,,,Drupal,,,,,,,,,,,,,jQuery UI and jQuery and Lodash,,,,,,,,,,,PHP,,,,,,,,DigiCert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abilityone.gov,United States AbilityOne,true,false,false,true,abilityone.gov,true,true,true,true,false,true,true,abilityone,gov,,true,true,false,abilityone.gov,false,https://abilityone.gov/,true,https,false,true,https://abilityone.gov/,false,false,-//W3C//DTD XHTML 1.0 Transitional//EN,,false,true,false,false,false,false,false,false,,,false,false,abilityone.gov,12.14.12.19,false,true,true,31536000,true,preloaded,true,true,:ok,true,,,,,,,,,,,,,,,,,DreamWeaver,,,,,,,jQuery,,,,,,,,Windows Server,,,,,,,,,,,,,,,,Microsoft ASP.NET,,IIS,Microsoft 365,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
abmc.gov,American Battle Monuments Commission,false,false,false,false,abmc.gov,false,false,false,true,false,true,true,abmc,gov,,true,true,false,abmc.gov,false,http://abmc.gov/,true,http,false,true,http://abmc.gov/,false,false,,,false,true,true,false,true,false,false,false,,,true,false,abmc-cos-wb1.blackmesh.com,74.121.194.7,false,false,false,0,false,preloaded,false,false,:ok,false,,,,,,,,Google Analytics,Varnish,,Drupal,,,,,,,,Google Font API,,,,,jQuery,,,,,,,,CentOS,,,PHP,,,,,,,,,,Google Tag Manager,,,,,Apache,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
abmcscholar.gov,American Battle Monuments Commission,false,false,false,false,abmcscholar.gov,false,false,false,false,false,false,false,abmcscholar,gov,,false,false,false,abmcscholar.gov,false,http://abmcscholar.gov/,false,http,false,false,http://abmcscholar.gov/,false,,,,,,,,,,,,,,false,false,"",,false,false,false,0,false,unknown,false,false,:couldnt_resolve_host,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
